date,revenue,expenses
2015-01-01,421958,280395
2015-01-02,431932,346851
2015-01-03,665838,434383
2015-01-04,559178,499341
2015-01-05,410268,177045
2015-01-06,354886,186758
2015-01-07,437337,219441
2015-01-08,821430,607285
2015-01-09,387498,224847
2015-01-10,475203,327579
2015-01-11,491335,283964
2015-01-12,578167,338234
2015-01-13,341090,261027
2015-01-14,629365,509912
2015-01-15,364820,115276
2015-01-16,621879,469713
2015-01-17,627069,562563
2015-01-18,499041,335437
2015-01-19,403355,327329
2015-01-20,535796,327052
2015-01-21,514176,294687
2015-01-22,484779,382366
2015-01-23,647449,532383
2015-01-24,721909,481624
2015-01-25,558795,457824
2015-01-26,786232,577879
2015-01-27,800186,636208
2015-01-28,456730,247567
2015-01-29,684681,584187
2015-01-30,449503,295639
2015-01-31,827035,627353
2015-02-01,752366,570215
2015-02-02,365725,220339
2015-02-03,429981,202158
2015-02-04,384654,248528
2015-02-05,891723,655219
2015-02-06,619030,407007
2015-02-07,628947,498084
2015-02-08,855839,727548
2015-02-09,573538,397879
2015-02-10,631236,390292
2015-02-11,828178,770943
2015-02-12,865894,733161
2015-02-13,789492,676780
2015-02-14,556840,354295
2015-02-15,773254,524615
2015-02-16,649457,473608
2015-02-17,570936,441113
2015-02-18,539931,385716
2015-02-19,539629,457399
2015-02-20,505041,370468
2015-02-21,717113,467165
2015-02-22,368148,277504
2015-02-23,551995,322259
2015-02-24,872843,777640
2015-02-25,556508,439831
2015-02-26,406530,200033
2015-02-27,760337,587091
2015-02-28,759773,624956
2015-03-01,508261,388455
2015-03-02,641097,548283
2015-03-03,615139,494920
2015-03-04,471829,241111
2015-03-05,571836,350880
2015-03-06,738974,593629
2015-03-07,502283,352195
2015-03-08,496769,377447
2015-03-09,861353,789703
2015-03-10,523165,378923
2015-03-11,835822,645560
2015-03-12,787879,699683
2015-03-13,864685,644164
2015-03-14,653531,432798
2015-03-15,563160,483451
2015-03-16,879879,749451
2015-03-17,520884,460941
2015-03-18,323247,98935
2015-03-19,324300,97468
2015-03-20,767281,696239
2015-03-21,833556,739662
2015-03-22,648951,461010
2015-03-23,574329,332179
2015-03-24,732315,625556
2015-03-25,816588,660615
2015-03-26,536584,442278
2015-03-27,862332,703963
2015-03-28,676896,440453
2015-03-29,348984,146994
2015-03-30,602918,524539
2015-03-31,564712,394045
2015-04-01,420151,236117
2015-04-02,755808,560885
2015-04-03,433767,266141
2015-04-04,436330,209511
2015-04-05,780754,605574
2015-04-06,601648,499299
2015-04-07,313986,76558
2015-04-08,886146,690329
2015-04-09,429312,373582
2015-04-10,312666,117673
2015-04-11,600804,531781
2015-04-12,434633,208212
2015-04-13,588998,412202
2015-04-14,584806,453273
2015-04-15,330535,197249
2015-04-16,675713,583734
2015-04-17,651279,578442
2015-04-18,789570,593501
2015-04-19,756551,601576
2015-04-20,573109,346998
2015-04-21,324538,253615
2015-04-22,501664,442788
2015-04-23,791234,680261
2015-04-24,439182,255223
2015-04-25,772525,527730
2015-04-26,458338,365916
2015-04-27,484064,382651
2015-04-28,514020,361536
2015-04-29,419176,235263
2015-04-30,518126,439370
2015-05-01,518969,397393
2015-05-02,422409,254161
2015-05-03,847707,787403
2015-05-04,553618,473277
2015-05-05,350015,164185
2015-05-06,422096,224014
2015-05-07,485340,308301
2015-05-08,410687,168857
2015-05-09,711357,498627
2015-05-10,405878,175804
2015-05-11,498286,315839
2015-05-12,464899,315414
2015-05-13,624767,552675
2015-05-14,679989,498427
2015-05-15,715515,661786
2015-05-16,343585,156539
2015-05-17,671369,503147
2015-05-18,364044,228828
2015-05-19,742296,608436
2015-05-20,409556,262686
2015-05-21,826981,755583
2015-05-22,500235,415585
2015-05-23,325939,123575
2015-05-24,452906,299017
2015-05-25,842335,789176
2015-05-26,588249,440087
2015-05-27,375766,131928
2015-05-28,708923,556089
2015-05-29,715192,517055
2015-05-30,868550,796912
2015-05-31,687261,636188
2015-06-01,754589,527006
2015-06-02,437848,358528
2015-06-03,427948,343024
2015-06-04,879304,657498
2015-06-05,702690,584574
2015-06-06,799046,577949
2015-06-07,751269,699110
2015-06-08,321959,223019
2015-06-09,528576,399140
2015-06-10,837833,773155
2015-06-11,465838,223691
2015-06-12,635674,407398
2015-06-13,361087,167994
2015-06-14,893128,705284
2015-06-15,418451,301288
2015-06-16,747600,543064
2015-06-17,739792,638655
2015-06-18,339353,128049
2015-06-19,493075,381578
2015-06-20,514283,363798
2015-06-21,614877,382357
2015-06-22,365318,209850
2015-06-23,782690,731789
2015-06-24,716880,578900
2015-06-25,891460,733866
2015-06-26,393264,340383
2015-06-27,525281,445418
2015-06-28,694070,507376
2015-06-29,652228,469778
2015-06-30,731839,636638
2015-07-01,569536,460285
2015-07-02,617824,495252
2015-07-03,557426,468171
2015-07-04,477789,364577
2015-07-05,813153,712943
2015-07-06,425657,250028
2015-07-07,535167,462668
2015-07-08,780671,628119
2015-07-09,370467,137767
2015-07-10,483734,372374
2015-07-11,409751,224076
2015-07-12,681050,503584
2015-07-13,761079,625606
2015-07-14,668452,474748
2015-07-15,406081,194402
2015-07-16,858986,717113
2015-07-17,410078,294322
2015-07-18,322671,94605
2015-07-19,718400,473946
2015-07-20,655528,549184
2015-07-21,351663,116816
2015-07-22,315708,127287
2015-07-23,611955,490801
2015-07-24,433883,356419
2015-07-25,618394,394698
2015-07-26,412547,240650
2015-07-27,859042,771698
2015-07-28,442483,308692
2015-07-29,514835,309464
2015-07-30,701896,472849
2015-07-31,384896,202362
2015-08-01,777095,606886
2015-08-02,371295,239854
2015-08-03,573255,432799
2015-08-04,599648,467860
2015-08-05,308155,86502
2015-08-06,766872,702697
2015-08-07,674705,487442
2015-08-08,871542,738108
2015-08-09,854594,720076
2015-08-10,447718,331181
2015-08-11,608987,443266
2015-08-12,658745,561100
2015-08-13,407512,334229
2015-08-14,447443,310472
2015-08-15,770587,627828
2015-08-16,673616,433421
2015-08-17,665871,513091
2015-08-18,675037,463941
2015-08-19,417796,187094
2015-08-20,591999,511265
2015-08-21,492506,441991
2015-08-22,569544,408762
2015-08-23,680002,563275
2015-08-24,839439,680275
2015-08-25,890978,794762
2015-08-26,828787,706954
2015-08-27,830583,721828
2015-08-28,688215,610359
2015-08-29,621184,497314
2015-08-30,722515,517281
2015-08-31,678480,491400
2015-09-01,332711,274724
2015-09-02,801157,557553
2015-09-03,484423,337921
2015-09-04,816349,631945
2015-09-05,433272,316949
2015-09-06,377505,157443
2015-09-07,302869,242996
2015-09-08,754351,536835
2015-09-09,612252,395840
2015-09-10,390272,235053
2015-09-11,338467,283434
2015-09-12,780047,656723
2015-09-13,358871,293182
2015-09-14,428391,268635
2015-09-15,739430,689364
2015-09-16,556687,392528
2015-09-17,407450,181132
2015-09-18,471890,414357
2015-09-19,738741,572913
2015-09-20,581974,472316
2015-09-21,700109,611611
2015-09-22,416381,257353
2015-09-23,773125,711353
2015-09-24,871621,732236
2015-09-25,434508,204400
2015-09-26,699111,459508
2015-09-27,450810,387870
2015-09-28,592890,424863
2015-09-29,873665,806733
2015-09-30,660032,422133
2015-10-01,669599,427096
2015-10-02,471836,397188
2015-10-03,345714,262748
2015-10-04,766960,558111
2015-10-05,424123,210484
2015-10-06,605628,407382
2015-10-07,382989,290391
2015-10-08,598356,358085
2015-10-09,478274,283404
2015-10-10,625352,378916
2015-10-11,711927,513297
2015-10-12,431373,320289
2015-10-13,738452,513143
2015-10-14,415294,168725
2015-10-15,759451,578201
2015-10-16,365726,298608
2015-10-17,441564,368948
2015-10-18,677812,495942
2015-10-19,568246,510645
2015-10-20,418015,342652
2015-10-21,554079,501284
2015-10-22,850929,703467
2015-10-23,813758,587422
2015-10-24,665890,512998
2015-10-25,745101,622268
2015-10-26,336631,283547
2015-10-27,372991,227126
2015-10-28,304014,253283
2015-10-29,573237,391036
2015-10-30,318070,108976
2015-10-31,356958,305353
2015-11-01,382074,254568
2015-11-02,835017,740887
2015-11-03,476089,265752
2015-11-04,497392,283990
2015-11-05,458823,340354
2015-11-06,693002,496743
2015-11-07,798863,592000
2015-11-08,667654,527218
2015-11-09,879036,716695
2015-11-10,830089,609150
2015-11-11,450262,268297
2015-11-12,742905,593211
2015-11-13,535362,465589
2015-11-14,744209,689970
2015-11-15,853880,783017
2015-11-16,519963,418548
2015-11-17,780761,661793
2015-11-18,548710,438280
2015-11-19,520984,469469
2015-11-20,564512,417306
2015-11-21,568799,373122
2015-11-22,537549,431309
2015-11-23,894319,838733
2015-11-24,784299,613880
2015-11-25,748982,576608
2015-11-26,424046,342860
2015-11-27,706619,629691
2015-11-28,332097,159107
2015-11-29,530229,393200
2015-11-30,418834,348123
2015-12-01,393848,288886
2015-12-02,352921,282882
2015-12-03,584821,498260
2015-12-04,355609,304032
2015-12-05,527897,370105
2015-12-06,331024,121602
2015-12-07,370313,155443
2015-12-08,689957,629172
2015-12-09,484078,361851
2015-12-10,657429,488749
2015-12-11,761243,649286
2015-12-12,413632,298201
2015-12-13,551451,353082
2015-12-14,303051,181157
2015-12-15,676836,431992
2015-12-16,489407,288754
2015-12-17,749395,644203
2015-12-18,762894,711432
2015-12-19,511810,332962
2015-12-20,373523,128278
2015-12-21,394476,197893
2015-12-22,533841,407735
2015-12-23,522866,424201
2015-12-24,386672,161186
2015-12-25,898135,767125
2015-12-26,644894,522321
2015-12-27,328251,170448
2015-12-28,674710,505028
2015-12-29,850233,786847
2015-12-30,332217,158148
2015-12-31,308308,203848
2016-01-01,568093,380800
2016-01-02,483062,278516
2016-01-03,694366,528991
2016-01-04,400235,237575
2016-01-05,374740,172623
2016-01-06,678496,537177
2016-01-07,477247,310665
2016-01-08,829525,643531
2016-01-09,320056,116278
2016-01-10,476615,383844
2016-01-11,487628,385293
2016-01-12,673632,570683
2016-01-13,434415,288857
2016-01-14,706716,510404
2016-01-15,746438,594166
2016-01-16,853663,800947
2016-01-17,841252,643606
2016-01-18,552764,327626
2016-01-19,766882,523984
2016-01-20,812153,610868
2016-01-21,367215,245299
2016-01-22,444356,197133
2016-01-23,503861,402955
2016-01-24,655612,605149
2016-01-25,754605,541560
2016-01-26,309435,184741
2016-01-27,747556,545833
2016-01-28,875581,756887
2016-01-29,378781,308773
2016-01-30,491475,371001
2016-01-31,460196,372011
2016-02-01,526507,388583
2016-02-02,606063,521083
2016-02-03,421172,348668
2016-02-04,656902,551932
2016-02-05,784963,718197
2016-02-06,755968,589024
2016-02-07,618717,474795
2016-02-08,359101,166334
2016-02-09,795972,597104
2016-02-10,588790,365175
2016-02-11,847337,651706
2016-02-12,660260,446049
2016-02-13,892673,722179
2016-02-14,733374,674572
2016-02-15,847577,626300
2016-02-16,672370,588211
2016-02-17,571967,510451
2016-02-18,491232,390740
2016-02-19,604119,525033
2016-02-20,309540,145782
2016-02-21,840652,760172
2016-02-22,697827,464664
2016-02-23,851951,673928
2016-02-24,351991,191796
2016-02-25,488751,259913
2016-02-26,666326,577589
2016-02-27,349115,289850
2016-02-28,653151,488986
2016-02-29,491962,322461
2016-03-01,449143,328153
2016-03-02,836226,770840
2016-03-03,653824,499106
2016-03-04,304000,216575
2016-03-05,655754,484119
2016-03-06,551492,327166
2016-03-07,799522,695888
2016-03-08,791072,562338
2016-03-09,338304,201316
2016-03-10,804999,648662
2016-03-11,631593,440378
2016-03-12,451836,255183
2016-03-13,408940,291497
2016-03-14,565517,486093
2016-03-15,685777,546933
2016-03-16,851638,759654
2016-03-17,849639,758134
2016-03-18,637497,485019
2016-03-19,507869,395170
2016-03-20,365953,157924
2016-03-21,800328,593792
2016-03-22,303267,139255
2016-03-23,382745,178024
2016-03-24,457164,234027
2016-03-25,835626,750868
2016-03-26,431484,244816
2016-03-27,831831,765457
2016-03-28,360692,192006
2016-03-29,520156,466381
2016-03-30,523992,446604
2016-03-31,816771,642971
2016-04-01,863044,792015
2016-04-02,843176,709195
2016-04-03,414352,310713
2016-04-04,385999,221989
